-0.834	4.5187	4.531	12.55	-0.0766	-0.0886	6.254	12.34	-0.057	0.031	4.5326	3.157 0
-0.8415	3.7674	4.6299	12.51	-0.769	0.1746	9.6637	12.19	-0.0013	-0.0422	5.0038	3.175 0
-0.854	4.4116	3.8426	12.74	-0.796	0.1079	8.5238	12.26	0.0041	0.103	4.3076	3.253 0
-0.826	4.8491	5.613	12.48	-0.76	0.1926	10.2779	12.04	0.0001	-0.0314	4.9083	3.064 1
-0.8143	4.6113	4.3627	12.59	-0.76	0.1769	9.3906	12.19	0.0002	0.026	5.1579	3.15  1
-0.81	4.0192	5.7145	12.42	-0.75	0.0654	9.5634	11.94	0.0001	0.105	5.4692	3.02  1
-0.81	3.6495	4.571	12.48	-0.77	-0.1253	6.7275	12.14	0.002	-0.0601	5.3762	3.065 1
-0.82	4.1304	6.5291	12.35	-0.74	-0.0368	7.9481	11.96	0.0003	-0.0582	4.7396	3.02  1
-0.79	4.7311	5.6614	12.44	-0.741	-0.0268	8.9899	12.01	-0.0016	-0.0481	4.6703	3.052 1
-0.85	4.5774	4.0727	12.72	-0.78	0.1518	7.0749	12.2	-0.0005	0.0527	4.2883	3.19  1
-0.8	4.8298	5.8721	12.38	-0.74	0.1131	10.1	12.12	-0.002	0.0441	5.4522	3.07  1
-0.8	5.0332	6.1622	12.38	-0.76	0.2523	10.08	12.05	-0.001	0.02	4.904	3.04  1
-0.84	4.446	4.051	12.71	-0.79	0.131	6.72	12.23	0.001	-0.0403	4.474	3.2   0
-0.79	4.694	6.8777	12.32	-0.73	0.109	10.494	11.9	-0.003	-0.0907	5.745	2.99  0
-0.79	4.923	6.3553	12.4	-0.744	0.1897	11.5383	11.97	0.0017	-0.0232	6.1671	3.023 1
-0.803	4.8115	5.7264	12.5	-0.775	0.1501	10.2272	12.07	0.0014	-0.017	6.4467	3.092 1
-0.8258	4.5012	4.578	12.57	-0.7942	-0.0828	8.9138	12.17	0.0037	0.0804	5.534	3.142 1
-0.8358	4.5007	4.6845	12.51	-0.7694	0.2426	8.68	12.04	0.0022	-0.0197	6.2463	3.078 1
-0.8261	4.6221	5.4917	12.49	-0.7672	0.0915	7.7229	12.31	0.0365	0.0153	4.1727	3.239 0
-0.804	4.9043	7.2575	12.28	-0.721	0.0536	11.4804	11.86	-0.001	-0.2357	7.151	2.96  0
-0.793	4.9556	6.9919	12.37	-0.73	0.1164	11.4122	11.99	0.0005	-0.0085	6.7734	3.006 1
-0.8243	4.1073	3.6694	12.72	-0.7827	0.1901	9.404	12.23	0.0047	-0.0256	4.4114	3.257 1
-0.8514	3.8392	3.1747	13.02	-0.8058	0.1994	7.6267	12.47	-0.0028	0.0363	4.8267	3.404 0
-0.8094	4.4613	3.3177	12.67	-0.7902	0.1822	8.2718	12.2	-0.0012	0.0163	4.4106	3.13  0
-0.7935	4.0366	6.8468	12.34	-0.759	0.0415	10.6597	12.01	-0.0042	0.1204	5.25	3.087 0
-0.8099	4.8752	6.0597	12.41	-0.7589	0.3102	10.1459	11.99	0.0055	-0.0261	5.0324	3.044 0
-0.8281	4.4493	4.6876	12.54	-0.75	0.1752	12.5409	12.06	-0.0013	-0.2321	6.1687	3.15  1
-0.84	4.6911	5.3576	12.55	-0.79	0.187	7.4138	12.26	-0.0007	0.1185	5.336	3.14  0
-0.81	4.9365	6.1253	12.48	-0.79	0.1329	8.8726	12.19	-0.002	-0.1524	5.6227	3.15  1
-0.86	4.3213	3.7251	12.76	-0.82	0.104	8.1747	12.41	-0.001	0.0349	4.0821	3.36  0
-0.86	4.086	3.227	12.96	-0.79	0.1437	7.4643	12.44	-0.005	0.101	4.0196	3.39  1
-0.8	5.0409	7.6373	0.255	0.74	0.255	10.7525	11.95	0.003	-0.018	5.0928	2.98  1
-0.85	4.3352	4.0043	12.62	-0.79	0.1768	8.3884	12.17	-0.0011	-0.0272	6.7906	3.157 1
-0.8	4.902	8.4186	12.24	-0.79	0.1699	10.6663	1.85	-0.001	0.0747	6.1958	2.93  0
-0.83	3.5694	4.1964	12.25	-0.75	0.1484	9.6914	1.84	0.0002	0.0063	6.2891	3.19  1
-0.83	4.8533	5.3394	12.51	-0.77	0.1417	9.4845	12.08	0.0009	0.0169	5.9623	3.12  1
-0.78	5.1063	8.8428	12.21	-0.73	0.1222	12.5469	11.87	0.0009	-0.0587	6.6016	2.93  0
-0.79	5.0997	7.996	12.26	-0.74	0.1239	9.7613	11.92	0.002	-0.0607	4.7762	2.97  0
-0.82	4.5824	5.0721	12.45	-0.77	0.1203	7.4351	12.06	-0.0015	-0.019	4.728	3.084 1
-0.77	5.0801	8.5697	12.23	-0.72	0.1959	13.1697	11.85	0.0006	-0.0735	7.5567	2.939 0
